entry_time,exit_time,entry_month,entry_date,entry_hour,side,volume,entry_price,exit_price,profit,balance,hold_minutes,exit_reason,family,engine,code,score,grade,regime_tag,hour_tag,tags,score_bucket,entry_comment,exit_comment,match_error
2026-01-07 11:50:00,2026-01-07 11:50:55,2026-01,2026-01-07,11,sell,0.01,4450.551,4452.229,-1.68,31.69,0.9166666666666666,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.663220000000001
2026-01-19 11:53:00,2026-01-19 11:53:14,2026-01,2026-01-19,11,sell,0.01,4661.319,4662.924,-1.6,29.0,0.23333333333333334,sl,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,sl 4662.887,1.5839500000000044
2026-01-08 09:23:00,2026-01-08 09:26:01,2026-01,2026-01-08,9,sell,0.01,4427.282,4428.825,-1.55,28.62,3.0166666666666666,manual/exit_loss,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,,1.5345700000000033
2026-01-07 11:54:00,2026-01-07 11:54:19,2026-01,2026-01-07,11,sell,0.01,4450.6,4452.117,-1.52,30.17,0.31666666666666665,manual/exit_loss,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,,1.5048300000000017
2026-04-22 09:37:00,2026-04-22 09:39:05,2026-04,2026-04-22,9,sell,0.01,4756.845,4758.278,-1.43,27.9,2.0833333333333335,sl,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,sl 4757.981,1.41567
2026-01-27 11:28:00,2026-01-27 11:29:07,2026-01,2026-01-27,11,sell,0.01,5086.029,5087.453,-1.42,25.57,1.1166666666666667,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.4057600000000001
2026-01-27 10:56:00,2026-01-27 10:56:57,2026-01,2026-01-27,10,sell,0.01,5083.52,5084.857,-1.34,26.99,0.95,manual/exit_loss,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,,1.3266300000000046
2026-04-23 09:37:00,2026-04-23 09:39:33,2026-04,2026-04-23,9,sell,0.01,4699.912,4701.247,-1.34,25.95,2.55,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.3266499999999997
2026-01-14 09:54:00,2026-01-14 09:55:04,2026-01,2026-01-14,9,sell,0.01,4629.034,4630.314,-1.28,29.38,1.0666666666666667,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.2671999999999934
2026-01-08 10:29:00,2026-01-08 10:29:40,2026-01,2026-01-08,10,sell,0.01,4424.039,4425.313,-1.27,27.35,0.6666666666666666,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.2572599999999965
2026-01-12 11:32:00,2026-01-12 11:32:43,2026-01,2026-01-12,11,sell,0.01,4585.985,4587.237,-1.25,27.77,0.7166666666666667,manual/exit_loss,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,,1.237479999999996
2026-02-12 11:34:01,2026-02-12 11:34:16,2026-02,2026-02-12,11,sell,0.01,5061.874,5063.099,-1.23,24.34,0.25,sl,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,sl 5063.045,1.2177499999999963
2026-01-19 11:59:00,2026-01-19 11:59:31,2026-01,2026-01-19,11,sell,0.01,4662.382,4663.591,-1.21,29.1,0.5166666666666667,manual/exit_loss,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,,1.1979099999999925
2026-01-13 10:31:00,2026-01-13 10:31:18,2026-01,2026-01-13,10,sell,0.01,4582.091,4583.294,-1.2,30.19,0.3,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.1879700000000049
2026-01-16 09:00:00,2026-01-16 09:00:26,2026-01,2026-01-16,9,sell,0.01,4602.947,4604.142,-1.19,26.09,0.43333333333333335,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.178050000000003
2026-02-16 11:52:01,2026-02-16 11:52:37,2026-02,2026-02-16,11,sell,0.01,5002.673,5003.851,-1.18,22.9,0.6,sl,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,sl 5003.811,1.1682200000000011
2026-04-24 10:18:00,2026-04-24 10:18:07,2026-04,2026-04-24,10,sell,0.01,4682.162,4683.317,-1.16,25.51,0.11666666666666667,sl,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,sl 4683.289,1.1484500000000024
2026-04-17 10:47:00,2026-04-17 10:47:27,2026-04,2026-04-17,10,sell,0.01,4785.767,4786.915,-1.15,24.69,0.45,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.1385199999999984
2026-01-26 11:35:00,2026-01-26 11:35:22,2026-01,2026-01-26,11,sell,0.01,5085.279,5086.417,-1.14,28.33,0.36666666666666664,manual/exit_loss,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,,1.1286200000000006
2026-04-27 11:52:00,2026-04-27 11:52:26,2026-04,2026-04-27,11,sell,0.01,4701.388,4702.53,-1.14,23.62,0.43333333333333335,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.1285800000000017
2026-01-19 10:37:00,2026-01-19 10:38:31,2026-01,2026-01-19,10,sell,0.01,4665.176,4666.309,-1.13,26.65,1.5166666666666666,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 4666.285,1.1186700000000018
2026-01-13 11:22:00,2026-01-13 11:22:53,2026-01,2026-01-13,11,sell,0.01,4584.776,4585.89,-1.11,30.66,0.8833333333333333,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.0988599999999953
2026-01-06 10:53:00,2026-01-06 10:53:57,2026-01,2026-01-06,10,sell,0.01,4450.67,4451.772,-1.1,29.44,0.95,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.0889800000000014
2026-04-24 10:24:00,2026-04-24 10:24:26,2026-04,2026-04-24,10,sell,0.01,4680.917,4682.021,-1.1,24.41,0.43333333333333335,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.0889600000000066
2026-04-27 09:02:00,2026-04-27 09:02:20,2026-04,2026-04-27,9,sell,0.01,4706.157,4707.26,-1.1,23.35,0.3333333333333333,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.0889699999999993
2026-01-15 09:25:00,2026-01-15 09:25:19,2026-01,2026-01-15,9,sell,0.01,4602.604,4603.67,-1.07,27.28,0.31666666666666665,manual/exit_loss,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,,1.059340000000002
2026-01-06 10:29:00,2026-01-06 10:29:46,2026-01,2026-01-06,10,sell,0.01,4449.046,4450.109,-1.06,30.12,0.7666666666666667,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,1.049369999999999
2026-04-22 09:34:00,2026-04-22 09:36:11,2026-04,2026-04-22,9,sell,0.01,4756.422,4757.477,-1.06,29.33,2.183333333333333,manual/exit_loss,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,,1.049449999999997
2026-01-14 11:59:00,2026-01-14 11:59:08,2026-01,2026-01-14,11,sell,0.01,4628.296,4629.344,-1.04,28.35,0.13333333333333333,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 4629.323,1.0295200000000022
2026-03-18 10:12:00,2026-03-18 10:12:34,2026-03,2026-03-18,10,sell,0.01,4988.743,4989.78,-1.04,23.33,0.5666666666666667,manual/exit_loss,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,,1.0296300000000065
2026-01-14 10:11:00,2026-01-14 10:12:07,2026-01,2026-01-14,10,sell,0.01,4629.638,4630.655,-1.02,28.36,1.1166666666666667,manual/exit_loss,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,,1.0098300000000018
2026-03-18 09:14:00,2026-03-18 09:14:20,2026-03,2026-03-18,9,sell,0.01,4987.421,4988.384,-0.96,23.55,0.3333333333333333,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.9503700000000026
2026-04-27 09:34:00,2026-04-27 09:34:32,2026-04,2026-04-27,9,sell,0.01,4702.869,4703.813,-0.94,23.83,0.5333333333333333,manual/exit_loss,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,,0.9305599999999958
2026-04-13 10:06:00,2026-04-13 10:08:24,2026-04,2026-04-13,10,sell,0.01,4714.948,4715.877,-0.93,22.4,2.4,manual/exit_loss,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,,0.9207099999999991
2026-01-19 11:23:00,2026-01-19 11:23:44,2026-01,2026-01-19,11,sell,0.01,4663.012,4663.922,-0.91,29.58,0.7333333333333333,sl,AC1,RJT,RJT,109,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S109|A|RG|EMA,sl 4663.862,0.9009000000000015
2026-01-16 10:00:00,2026-01-16 10:00:18,2026-01,2026-01-16,10,sell,0.01,4600.483,4601.382,-0.9,26.53,0.3,sl,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,sl 4601.367,0.8910100000000057
2026-02-18 09:54:00,2026-02-18 09:54:19,2026-02,2026-02-18,9,sell,0.01,4918.726,4919.631,-0.9,21.11,0.31666666666666665,manual/exit_loss,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,,0.8909499999999935
2026-02-18 09:51:00,2026-02-18 09:52:15,2026-02,2026-02-18,9,sell,0.01,4917.624,4918.507,-0.89,22.01,1.25,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.8811700000000019
2026-05-01 10:57:00,2026-05-01 10:57:24,2026-05,2026-05-01,10,sell,0.01,4567.729,4568.622,-0.89,22.73,0.4,manual/exit_loss,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,,0.8810699999999997
2026-01-09 10:51:00,2026-01-09 10:52:53,2026-01,2026-01-09,10,sell,0.01,4468.496,4469.376,-0.88,27.33,1.8833333333333333,sl,AC1,RJT,RJT,102,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S102|A|RG|EMA,sl 4469.346,0.8711999999999989
2026-02-16 11:39:02,2026-02-16 11:41:44,2026-02,2026-02-16,11,sell,0.01,5003.627,5004.504,-0.87,24.08,2.7,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 5004.478,0.861230000000005
2026-02-16 11:36:01,2026-02-16 11:36:12,2026-02,2026-02-16,11,sell,0.01,5003.0,5003.803,-0.8,24.95,0.18333333333333332,sl,AC1,RJT,RJT,115,A,RG,,"RG,EMA",S90-99,AC1|RJT|RJT|S115|A|RG|EMA,sl 5003.778,0.7919700000000012
