engine,entry_hour,trades,net,gross_profit,gross_loss,win_rate,profit_factor,avg,avg_win,avg_loss,largest_win,largest_loss,win_count,loss_count
BO,14,4.0,-27.01,0,-27.01,0.0,0.0,-6.7525,0.0,-6.7525,0.0,-9.98,0.0,4.0
PB,12,3.0,-8.77,0,-8.77,0.0,0.0,-2.9233333333333333,0.0,-2.9233333333333333,0.0,-3.72,0.0,3.0
BO,16,1.0,-7.93,0,-7.93,0.0,0.0,-7.93,0.0,-7.93,0.0,-7.93,0.0,1.0
PB,5,2.0,-7.92,0,-7.92,0.0,0.0,-3.96,0.0,-3.96,0.0,-4.47,0.0,2.0
PB,6,3.0,-6.32,1.01,-7.33,33.33333333333333,0.1377899045020464,-2.106666666666667,1.01,-3.665,1.01,-3.68,1.0,2.0
PB,1,4.0,-6.15,8.45,-14.6,25.0,0.5787671232876712,-1.5375,8.45,-4.866666666666666,8.45,-6.24,1.0,3.0
PB,0,6.0,-5.43,9.74,-15.17,16.666666666666664,0.6420566908371786,-0.9049999999999999,9.74,-3.034,9.74,-4.91,1.0,5.0
BO,9,1.0,-5.09,0,-5.09,0.0,0.0,-5.09,0.0,-5.09,0.0,-5.09,0.0,1.0
BO,4,1.0,-4.86,0,-4.86,0.0,0.0,-4.86,0.0,-4.86,0.0,-4.86,0.0,1.0
PB,11,3.0,-4.74,0.78,-5.52,33.33333333333333,0.14130434782608697,-1.58,0.78,-2.76,0.78,-2.94,1.0,2.0
PB,7,2.0,-4.51,0,-4.51,0.0,0.0,-2.255,0.0,-2.255,0.0,-2.48,0.0,2.0
RV,9,1.0,-4.31,0,-4.31,0.0,0.0,-4.31,0.0,-4.31,0.0,-4.31,0.0,1.0
PB,22,1.0,-3.99,0,-3.99,0.0,0.0,-3.99,0.0,-3.99,0.0,-3.99,0.0,1.0
BO,10,2.0,-3.83,3.21,-7.04,50.0,0.45596590909090906,-1.915,3.21,-7.04,3.21,-7.04,1.0,1.0
